simulator,case_id,base_case_id,seed,duration_s,attempts,admitted,admission_blocked,delivered,delivered_unique,duplicate_delivery_events,unmatched_sends,explicit_drops,pending,network_bytes_sent,network_bytes_received,delay_samples,delay_sum_s,mean_packet_latency_s,max_packet_latency_s,populated_delay_buckets,bucket_latency_mean_sum_s,mean_populated_bucket_latency_s,received_packet_rate_over_full_window
matlab,three_node_contention_360_s129,three_node_contention_360,129,360.0,60000,980,59020,948,948,0,32,0,32,580160,561216,948,1519.2543119454808,1.602588936651351,7.156723999988003,17,29.113743763498398,1.7125731625587293,2.6333333333333333
ns3,three_node_contention_360_s129,three_node_contention_360,129,360.0,60000,854,59146,822,822,0,32,,,505568,486624,822,1577.159847999998,1.918685946472017,13.896704,17,39.58978010321478,2.3288105943067516,2.283333333333333
matlab,three_node_contention_360_s128,three_node_contention_360,128,360.0,60000,954,59046,928,928,0,26,0,26,564768,549376,928,1522.5430319468842,1.6406713706324183,6.766723999988017,17,29.35942332259922,1.727024901329366,2.577777777777778
ns3,three_node_contention_360_s128,three_node_contention_360,128,360.0,60000,946,59054,914,914,0,32,,,560032,541088,914,1549.0888160000009,1.6948455317286661,9.40572400000002,17,32.54608225413618,1.914475426713893,2.5388888888888888
matlab,three_node_contention_360_s130,three_node_contention_360,130,360.0,60000,926,59074,894,894,0,32,0,32,548192,529248,894,1587.378135946979,1.7755907560928177,9.080723999984002,17,33.46711775154717,1.9686539853851277,2.4833333333333334
ns3,three_node_contention_360_s130,three_node_contention_360,130,360.0,60000,948,59052,916,916,0,32,,,561216,542272,916,1520.2360640000038,1.6596463580786067,8.612724000000014,17,32.21848666205529,1.8952050977679582,2.5444444444444443
matlab,three_node_contention_360_s131,three_node_contention_360,131,360.0,60000,927,59073,895,895,0,32,0,32,548784,529840,895,1535.36365994655,1.7154901228453072,9.431723999983035,17,33.265419577538424,1.956789386914025,2.486111111111111
ns3,three_node_contention_360_s131,three_node_contention_360,131,360.0,60000,903,59097,883,883,0,20,,,534576,522736,883,1568.2216120000003,1.7760154156285395,9.912724000000026,17,35.71456284685447,2.100856638050263,2.452777777777778
matlab,three_node_contention_360_s132,three_node_contention_360,132,360.0,60000,949,59051,917,917,0,32,0,32,561808,542864,917,1552.4388279466757,1.6929540108469745,8.742723999985003,17,31.548201794239283,1.8557765761317224,2.547222222222222
ns3,three_node_contention_360_s132,three_node_contention_360,132,360.0,60000,952,59048,920,920,0,32,,,563584,544640,920,1521.011,1.6532728260869565,10.081724000000008,17,32.34364616462861,1.9025674214487418,2.5555555555555554
matlab,two_node_admission_1200_s129,two_node_admission_1200,129,1200.0,45000,11358,33642,11354,11354,0,4,0,4,6723936,6721568,11354,10548.1058781923,0.9290211271967853,4.644723999992038,75,70.11793145718849,0.9349057527625132,9.461666666666666
ns3,two_node_admission_1200_s129,two_node_admission_1200,129,1200.0,45000,11234,33766,11227,11227,0,7,,,6650528,6646384,11227,10775.197447999995,0.9597574995991801,4.65772400000003,75,72.25062396472156,0.963341652862954,9.355833333333333
