case_id,step,time_s,action,packet,peer,accepted,threshold,ack_count,outstanding,global_pending,dack_holds,resend,can_send,ack_total,dack_total,fail_total,nsdp_release_total,retry_total,tx_total,dack_expired_total
retried_third_ack,14,2.2000000000000002,TX,after1,8,-1,1,0,1,1,0,1,1,3,0,0,3,1,5,0
retried_third_ack,15,2.202,FEEDBACK,,8,-1,1,1,0,0,0,0,1,4,0,0,4,1,5,0
retried_third_ack,16,2.21,PROBE,,8,-1,1,1,0,0,0,0,1,4,0,0,4,1,5,0
retried_second_ack,1,0,SEND,w1,8,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0
retried_second_ack,2,0,TX,w1,8,-1,0,0,1,1,0,1,0,0,0,0,0,0,1,0
retried_second_ack,3,0.002,FEEDBACK,,8,-1,0,1,0,0,0,0,1,1,0,0,1,0,1,0
retried_second_ack,4,0.10000000000000001,SEND,retry,8,1,0,1,1,1,0,1,0,1,0,0,1,0,1,0
retried_second_ack,5,0.10000000000000001,TX,retry,8,-1,0,1,1,1,0,1,0,1,0,0,1,0,2,0
retried_second_ack,6,2.1099999999999999,TX,retry,8,-1,0,1,1,1,0,1,0,1,0,0,1,1,3,0
retried_second_ack,7,2.1200000000000001,FEEDBACK,,8,-1,0,0,0,0,0,0,1,2,0,0,2,1,3,0
retried_second_ack,8,2.2000000000000002,SEND,after1,8,1,0,0,1,1,0,1,0,2,0,0,2,1,3,0
retried_second_ack,9,2.2000000000000002,TX,after1,8,-1,0,0,1,1,0,1,0,2,0,0,2,1,4,0
retried_second_ack,10,2.202,FEEDBACK,,8,-1,0,1,0,0,0,0,1,3,0,0,3,1,4,0
retried_second_ack,11,2.21,SEND,after2,8,1,0,1,1,1,0,1,0,3,0,0,3,1,4,0
retried_second_ack,12,2.21,TX,after2,8,-1,0,1,1,1,0,1,0,3,0,0,3,1,5,0
retried_second_ack,13,2.2120000000000002,FEEDBACK,,8,-1,0,2,0,0,0,0,1,4,0,0,4,1,5,0
retried_second_ack,14,2.2200000000000002,PROBE,,8,-1,0,2,0,0,0,0,1,4,0,0,4,1,5,0
retried_second_ack,15,2.23,SEND,third1,8,1,0,2,1,1,0,1,0,4,0,0,4,1,5,0
retried_second_ack,16,2.23,TX,third1,8,-1,0,2,1,1,0,1,0,4,0,0,4,1,6,0
retried_second_ack,17,2.2320000000000002,FEEDBACK,,8,-1,1,0,0,0,0,0,1,5,0,0,5,1,6,0
retried_second_ack,18,2.2400000000000002,PROBE,,8,-1,1,0,0,0,0,0,1,5,0,0,5,1,6,0
dack_hold_20,1,0,SEND,w1,8,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0
dack_hold_20,2,0,TX,w1,8,-1,0,0,1,1,0,1,0,0,0,0,0,0,1,0
dack_hold_20,3,0.002,FEEDBACK,,8,-1,0,1,0,0,0,0,1,1,0,0,1,0,1,0
dack_hold_20,4,0.01,SEND,w2,8,1,0,1,1,1,0,1,0,1,0,0,1,0,1,0
dack_hold_20,5,0.01,TX,w2,8,-1,0,1,1,1,0,1,0,1,0,0,1,0,2,0
dack_hold_20,6,0.012,FEEDBACK,,8,-1,0,2,0,0,0,0,1,2,0,0,2,0,2,0
dack_hold_20,7,0.02,SEND,w3,8,1,0,2,1,1,0,1,0,2,0,0,2,0,2,0
dack_hold_20,8,0.02,TX,w3,8,-1,0,2,1,1,0,1,0,2,0,0,2,0,3,0
dack_hold_20,9,0.021999999999999999,FEEDBACK,,8,-1,1,0,0,0,0,0,1,3,0,0,3,0,3,0
dack_hold_20,10,0.029999999999999999,SEND,w4,8,1,1,0,1,1,0,1,1,3,0,0,3,0,3,0
dack_hold_20,11,0.029999999999999999,TX,w4,8,-1,1,0,1,1,0,1,1,3,0,0,3,0,4,0
dack_hold_20,12,0.032000000000000001,FEEDBACK,,8,-1,1,1,0,0,0,0,1,4,0,0,4,0,4,0
dack_hold_20,13,0.040000000000000001,SEND,w5,8,1,1,1,1,1,0,1,1,4,0,0,4,0,4,0
dack_hold_20,14,0.040000000000000001,TX,w5,8,-1,1,1,1,1,0,1,1,4,0,0,4,0,5,0
dack_hold_20,15,0.042000000000000003,FEEDBACK,,8,-1,1,2,0,0,0,0,1,5,0,0,5,0,5,0
dack_hold_20,16,0.20000000000000001,SEND,held,8,1,1,2,1,1,0,1,1,5,0,0,5,0,5,0
dack_hold_20,17,0.20000000000000001,TX,held,8,-1,1,2,1,1,0,1,1,5,0,0,5,0,6,0
dack_hold_20,18,0.20999999999999999,FEEDBACK,,8,-1,1,0,1,1,1,0,1,5,1,0,6,0,6,0
dack_hold_20,19,0.22,SEND,other,8,1,1,0,2,2,1,1,0,5,1,0,6,0,6,0
dack_hold_20,20,0.22,TX,other,8,-1,1,0,2,2,1,1,0,5,1,0,6,0,7,0
dack_hold_20,21,0.221,SEND,blocked,8,0,1,0,2,2,1,1,0,5,1,0,6,0,7,0
dack_hold_20,22,0.23000000000000001,FEEDBACK,,8,-1,1,1,1,1,1,0,1,6,1,0,7,0,7,0
dack_hold_20,23,20.209,PROBE,,8,-1,1,1,1,1,1,0,1,6,1,0,7,0,7,0
dack_hold_20,24,20.210999999999999,PROBE,,8,-1,1,1,0,0,0,0,1,6,1,0,7,0,7,1
dack_hold_40,1,0,SEND,w1,8,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0
dack_hold_40,2,0,TX,w1,8,-1,0,0,1,1,0,1,0,0,0,0,0,0,1,0
dack_hold_40,3,0.002,FEEDBACK,,8,-1,0,1,0,0,0,0,1,1,0,0,1,0,1,0
dack_hold_40,4,0.01,SEND,w2,8,1,0,1,1,1,0,1,0,1,0,0,1,0,1,0
